topology,traffic,vc_mode,vcs,diameter,bisection,zero_load_latency,saturation_rate,first_saturated_rate,peak_accepted_throughput
ring,uniform,baseline_vc2,2,8,2,8.5723,0.2800,0.3200,0.273104
mesh,uniform,baseline_vc2,2,6,4,6.8783,0.7000,0.8000,0.736005
ring,hotnode,baseline_vc2,2,8,2,8.5558,0.2000,0.2400,0.241615
mesh,hotnode,baseline_vc2,2,6,4,6.7299,0.2000,0.2400,0.389984
ring,hotnode,vc4_plain,4,8,2,8.5746,0.2400,0.2800,0.311771
mesh,hotnode,vc4_plain,4,6,4,6.7320,0.2000,0.2400,0.397396
ring,hotnode,vc2_qclass,2,8,2,8.5558,0.2000,0.2400,0.248281
mesh,hotnode,vc2_qclass,2,6,4,6.7299,0.2400,0.2800,0.397380
ring,hotnode,vc4_class,4,8,2,8.5600,0.2000,0.2400,0.302573
mesh,hotnode,vc4_class,4,6,4,6.7299,0.2400,0.2800,0.649880
ring,uniform,vc4_class,4,8,2,8.5723,0.2800,0.3200,0.272531
mesh,uniform,vc4_class,4,6,4,6.8783,0.7000,0.8000,0.732026
torus,uniform,baseline_vc2,2,4,8,6.2758,0.6000,0.7000,0.587708
torus,hotnode,baseline_vc2,2,4,8,6.2471,0.2400,0.2800,0.400505
torus,uniform,vc4_plain,4,4,8,6.2653,0.9400,0.9700,0.905526
torus,hotnode,vc4_plain,4,4,8,6.2565,0.2800,0.3200,0.522896
torus,hotnode,vc4_class,4,4,8,6.2430,0.2400,0.2800,0.646344
