pattern,index,src,dst
hotnode,0,0,14
hotnode,1,1,13
hotnode,2,2,6
hotnode,3,3,5
hotnode,4,4,5
hotnode,5,5,13
hotnode,6,6,1
hotnode,7,7,14
hotnode,8,8,1
hotnode,9,9,5
hotnode,10,10,8
hotnode,11,11,1
hotnode,12,12,5
hotnode,13,13,1
hotnode,14,14,1
hotnode,15,15,14
hotnode,16,0,5
hotnode,17,1,11
hotnode,18,2,15
hotnode,19,3,9
hotnode,20,4,5
hotnode,21,5,12
hotnode,22,6,1
hotnode,23,7,5
hotnode,24,8,1
hotnode,25,9,5
hotnode,26,10,5
hotnode,27,11,14
hotnode,28,12,14
hotnode,29,13,5
hotnode,30,14,1
hotnode,31,15,0
hotnode,32,0,12
hotnode,33,1,5
hotnode,34,2,11
hotnode,35,3,1
hotnode,36,4,5
hotnode,37,5,1
hotnode,38,6,1
hotnode,39,7,5
hotnode,40,8,3
hotnode,41,9,8
hotnode,42,10,1
hotnode,43,11,5
hotnode,44,12,8
hotnode,45,13,5
hotnode,46,14,7
hotnode,47,15,5
hotnode,48,0,5
hotnode,49,1,6
hotnode,50,2,14
hotnode,51,3,0
hotnode,52,4,11
hotnode,53,5,2
hotnode,54,6,5
hotnode,55,7,5
hotnode,56,8,1
hotnode,57,9,3
hotnode,58,10,1
hotnode,59,11,1
hotnode,60,12,1
hotnode,61,13,3
hotnode,62,14,8
hotnode,63,15,5
hotnode,64,0,1
hotnode,65,1,0
hotnode,66,2,5
hotnode,67,3,7
hotnode,68,4,12
hotnode,69,5,11
hotnode,70,6,14
hotnode,71,7,4
hotnode,72,8,5
hotnode,73,9,1
hotnode,74,10,7
hotnode,75,11,3
hotnode,76,12,1
hotnode,77,13,5
hotnode,78,14,1
hotnode,79,15,5
hotnode,80,0,9
hotnode,81,1,4
hotnode,82,2,3
hotnode,83,3,14
hotnode,84,4,5
hotnode,85,5,2
hotnode,86,6,5
hotnode,87,7,5
hotnode,88,8,5
hotnode,89,9,6
hotnode,90,10,1
hotnode,91,11,2
hotnode,92,12,1
hotnode,93,13,12
hotnode,94,14,13
hotnode,95,15,1
hotnode,96,0,5
hotnode,97,1,6
hotnode,98,2,5
hotnode,99,3,1
hotnode,100,4,0
hotnode,101,5,9
hotnode,102,6,5
hotnode,103,7,10
hotnode,104,8,11
hotnode,105,9,5
hotnode,106,10,8
hotnode,107,11,1
hotnode,108,12,5
hotnode,109,13,3
hotnode,110,14,1
hotnode,111,15,6
hotnode,112,0,1
hotnode,113,1,5
hotnode,114,2,5
hotnode,115,3,5
hotnode,116,4,5
hotnode,117,5,1
hotnode,118,6,1
hotnode,119,7,2
hotnode,120,8,5
hotnode,121,9,5
hotnode,122,10,2
hotnode,123,11,4
hotnode,124,12,1
hotnode,125,13,5
hotnode,126,14,3
hotnode,127,15,5
hotnode,128,0,1
hotnode,129,1,5
hotnode,130,2,13
hotnode,131,3,1
hotnode,132,4,1
hotnode,133,5,8
hotnode,134,6,5
hotnode,135,7,5
hotnode,136,8,7
hotnode,137,9,5
hotnode,138,10,1
hotnode,139,11,7
hotnode,140,12,15
hotnode,141,13,5
hotnode,142,14,1
hotnode,143,15,11
hotnode,144,0,6
hotnode,145,1,10
hotnode,146,2,13
hotnode,147,3,12
hotnode,148,4,13
hotnode,149,5,14
hotnode,150,6,5
hotnode,151,7,1
hotnode,152,8,6
hotnode,153,9,5
hotnode,154,10,1
hotnode,155,11,1
hotnode,156,12,2
hotnode,157,13,3
hotnode,158,14,4
hotnode,159,15,1
hotnode,160,0,11
hotnode,161,1,15
hotnode,162,2,1
hotnode,163,3,1
hotnode,164,4,1
hotnode,165,5,1
hotnode,166,6,1
hotnode,167,7,1
hotnode,168,8,4
hotnode,169,9,5
hotnode,170,10,5
hotnode,171,11,5
hotnode,172,12,0
hotnode,173,13,12
hotnode,174,14,1
hotnode,175,15,1
hotnode,176,0,5
hotnode,177,1,2
hotnode,178,2,3
hotnode,179,3,7
hotnode,180,4,12
hotnode,181,5,0
hotnode,182,6,1
hotnode,183,7,14
hotnode,184,8,5
hotnode,185,9,1
hotnode,186,10,1
hotnode,187,11,5
hotnode,188,12,1
hotnode,189,13,5
hotnode,190,14,1
hotnode,191,15,3
hotnode,192,0,10
hotnode,193,1,5
hotnode,194,2,15
hotnode,195,3,9
hotnode,196,4,5
hotnode,197,5,1
hotnode,198,6,12
hotnode,199,7,5
hotnode,200,8,1
hotnode,201,9,5
hotnode,202,10,11
hotnode,203,11,5
hotnode,204,12,5
hotnode,205,13,0
hotnode,206,14,5
hotnode,207,15,1
hotnode,208,0,1
hotnode,209,1,5
hotnode,210,2,15
hotnode,211,3,10
hotnode,212,4,1
hotnode,213,5,1
hotnode,214,6,12
hotnode,215,7,0
hotnode,216,8,10
hotnode,217,9,11
hotnode,218,10,1
hotnode,219,11,8
hotnode,220,12,1
hotnode,221,13,5
hotnode,222,14,6
hotnode,223,15,5
hotnode,224,0,1
hotnode,225,1,5
hotnode,226,2,1
hotnode,227,3,2
hotnode,228,4,1
hotnode,229,5,11
hotnode,230,6,1
hotnode,231,7,8
hotnode,232,8,1
hotnode,233,9,6
hotnode,234,10,14
hotnode,235,11,4
hotnode,236,12,1
hotnode,237,13,5
hotnode,238,14,11
hotnode,239,15,2
hotnode,240,0,1
hotnode,241,1,2
hotnode,242,2,1
hotnode,243,3,12
hotnode,244,4,1
hotnode,245,5,9
hotnode,246,6,5
hotnode,247,7,2
hotnode,248,8,5
hotnode,249,9,5
hotnode,250,10,5
hotnode,251,11,1
hotnode,252,12,5
hotnode,253,13,5
hotnode,254,14,0
hotnode,255,15,1
hotnode,256,0,2
hotnode,257,1,0
hotnode,258,2,12
hotnode,259,3,9
hotnode,260,4,1
hotnode,261,5,1
hotnode,262,6,0
hotnode,263,7,14
hotnode,264,8,0
hotnode,265,9,5
hotnode,266,10,6
hotnode,267,11,5
hotnode,268,12,2
hotnode,269,13,9
hotnode,270,14,13
hotnode,271,15,1
hotnode,272,0,15
hotnode,273,1,8
hotnode,274,2,15
hotnode,275,3,15
hotnode,276,4,1
hotnode,277,5,1
hotnode,278,6,5
hotnode,279,7,1
hotnode,280,8,1
hotnode,281,9,1
hotnode,282,10,5
hotnode,283,11,6
hotnode,284,12,1
hotnode,285,13,1
hotnode,286,14,1
hotnode,287,15,8
hotnode,288,0,2
hotnode,289,1,9
hotnode,290,2,5
hotnode,291,3,1
hotnode,292,4,8
hotnode,293,5,10
hotnode,294,6,13
hotnode,295,7,3
hotnode,296,8,5
hotnode,297,9,8
hotnode,298,10,1
hotnode,299,11,12
hotnode,300,12,5
hotnode,301,13,1
hotnode,302,14,1
hotnode,303,15,6
hotnode,304,0,1
hotnode,305,1,5
hotnode,306,2,9
hotnode,307,3,0
hotnode,308,4,1
hotnode,309,5,8
hotnode,310,6,5
hotnode,311,7,1
hotnode,312,8,5
hotnode,313,9,1
hotnode,314,10,2
hotnode,315,11,5
hotnode,316,12,1
hotnode,317,13,3
hotnode,318,14,1
hotnode,319,15,1
hotnode,320,0,15
hotnode,321,1,5
hotnode,322,2,1
hotnode,323,3,1
hotnode,324,4,1
hotnode,325,5,11
hotnode,326,6,5
hotnode,327,7,2
hotnode,328,8,1
hotnode,329,9,5
hotnode,330,10,9
hotnode,331,11,4
hotnode,332,12,5
hotnode,333,13,3
hotnode,334,14,11
hotnode,335,15,1
hotnode,336,0,7
hotnode,337,1,15
hotnode,338,2,1
hotnode,339,3,5
hotnode,340,4,1
hotnode,341,5,1
hotnode,342,6,9
hotnode,343,7,2
hotnode,344,8,12
hotnode,345,9,5
hotnode,346,10,5
hotnode,347,11,10
hotnode,348,12,7
hotnode,349,13,1
hotnode,350,14,10
hotnode,351,15,1
hotnode,352,0,11
hotnode,353,1,6
hotnode,354,2,8
hotnode,355,3,9
hotnode,356,4,5
hotnode,357,5,10
hotnode,358,6,1
hotnode,359,7,1
hotnode,360,8,0
hotnode,361,9,5
hotnode,362,10,5
hotnode,363,11,5
hotnode,364,12,5
hotnode,365,13,5
hotnode,366,14,6
hotnode,367,15,7
hotnode,368,0,12
hotnode,369,1,3
hotnode,370,2,1
hotnode,371,3,8
hotnode,372,4,1
hotnode,373,5,11
hotnode,374,6,5
hotnode,375,7,1
hotnode,376,8,1
hotnode,377,9,5
hotnode,378,10,1
hotnode,379,11,5
hotnode,380,12,11
hotnode,381,13,3
hotnode,382,14,5
hotnode,383,15,1
hotnode,384,0,7
hotnode,385,1,5
hotnode,386,2,7
hotnode,387,3,9
hotnode,388,4,1
hotnode,389,5,1
hotnode,390,6,8
hotnode,391,7,5
hotnode,392,8,5
hotnode,393,9,0
hotnode,394,10,13
hotnode,395,11,10
hotnode,396,12,1
hotnode,397,13,1
hotnode,398,14,1
hotnode,399,15,6
hotnode,400,0,10
hotnode,401,1,11
hotnode,402,2,1
hotnode,403,3,5
hotnode,404,4,13
hotnode,405,5,1
hotnode,406,6,11
hotnode,407,7,3
hotnode,408,8,1
hotnode,409,9,1
hotnode,410,10,7
hotnode,411,11,6
hotnode,412,12,1
hotnode,413,13,5
hotnode,414,14,1
hotnode,415,15,1
hotnode,416,0,5
hotnode,417,1,5
hotnode,418,2,5
hotnode,419,3,11
hotnode,420,4,3
hotnode,421,5,1
hotnode,422,6,5
hotnode,423,7,5
hotnode,424,8,5
hotnode,425,9,4
hotnode,426,10,5
hotnode,427,11,9
hotnode,428,12,14
hotnode,429,13,1
hotnode,430,14,10
hotnode,431,15,1
hotnode,432,0,1
hotnode,433,1,4
hotnode,434,2,1
hotnode,435,3,5
hotnode,436,4,1
hotnode,437,5,2
hotnode,438,6,13
hotnode,439,7,9
hotnode,440,8,5
hotnode,441,9,5
hotnode,442,10,13
hotnode,443,11,1
hotnode,444,12,5
hotnode,445,13,3
hotnode,446,14,13
hotnode,447,15,5
hotnode,448,0,2
hotnode,449,1,6
hotnode,450,2,5
hotnode,451,3,1
hotnode,452,4,5
hotnode,453,5,10
hotnode,454,6,12
hotnode,455,7,1
hotnode,456,8,1
hotnode,457,9,4
hotnode,458,10,3
hotnode,459,11,1
hotnode,460,12,3
hotnode,461,13,7
hotnode,462,14,3
hotnode,463,15,8
hotnode,464,0,1
hotnode,465,1,10
hotnode,466,2,14
hotnode,467,3,2
hotnode,468,4,6
hotnode,469,5,9
hotnode,470,6,5
hotnode,471,7,10
hotnode,472,8,1
hotnode,473,9,3
hotnode,474,10,0
hotnode,475,11,1
hotnode,476,12,8
hotnode,477,13,1
hotnode,478,14,2
hotnode,479,15,10
hotnode,480,0,2
hotnode,481,1,0
hotnode,482,2,0
hotnode,483,3,1
hotnode,484,4,7
hotnode,485,5,4
hotnode,486,6,3
hotnode,487,7,0
hotnode,488,8,3
hotnode,489,9,3
hotnode,490,10,1
hotnode,491,11,5
hotnode,492,12,5
hotnode,493,13,1
hotnode,494,14,4
hotnode,495,15,8
hotnode,496,0,14
hotnode,497,1,5
hotnode,498,2,5
hotnode,499,3,10
hotnode,500,4,1
hotnode,501,5,6
hotnode,502,6,0
