pattern,index,src,dst
uniform,0,0,11
uniform,1,1,14
uniform,2,2,10
uniform,3,3,13
uniform,4,4,15
uniform,5,5,6
uniform,6,6,4
uniform,7,7,5
uniform,8,8,1
uniform,9,9,5
uniform,10,10,14
uniform,11,11,13
uniform,12,12,1
uniform,13,13,14
uniform,14,14,7
uniform,15,15,13
uniform,16,0,1
uniform,17,1,11
uniform,18,2,4
uniform,19,3,7
uniform,20,4,14
uniform,21,5,9
uniform,22,6,8
uniform,23,7,13
uniform,24,8,3
uniform,25,9,6
uniform,26,10,5
uniform,27,11,12
uniform,28,12,5
uniform,29,13,12
uniform,30,14,10
uniform,31,15,14
uniform,32,0,6
uniform,33,1,2
uniform,34,2,15
uniform,35,3,11
uniform,36,4,9
uniform,37,5,15
uniform,38,6,14
uniform,39,7,9
uniform,40,8,6
uniform,41,9,7
uniform,42,10,12
uniform,43,11,12
uniform,44,12,6
uniform,45,13,15
uniform,46,14,4
uniform,47,15,5
uniform,48,0,4
uniform,49,1,15
uniform,50,2,4
uniform,51,3,7
uniform,52,4,6
uniform,53,5,2
uniform,54,6,9
uniform,55,7,14
uniform,56,8,11
uniform,57,9,14
uniform,58,10,4
uniform,59,11,3
uniform,60,12,1
uniform,61,13,15
uniform,62,14,12
uniform,63,15,0
uniform,64,0,14
uniform,65,1,12
uniform,66,2,8
uniform,67,3,5
uniform,68,4,13
uniform,69,5,11
uniform,70,6,8
uniform,71,7,10
uniform,72,8,5
uniform,73,9,1
uniform,74,10,6
uniform,75,11,9
uniform,76,12,7
uniform,77,13,7
uniform,78,14,4
uniform,79,15,0
uniform,80,0,15
uniform,81,1,4
uniform,82,2,14
uniform,83,3,9
uniform,84,4,8
uniform,85,5,12
uniform,86,6,11
uniform,87,7,5
uniform,88,8,10
uniform,89,9,8
uniform,90,10,2
uniform,91,11,4
uniform,92,12,13
uniform,93,13,7
uniform,94,14,1
uniform,95,15,5
uniform,96,0,5
uniform,97,1,6
uniform,98,2,9
uniform,99,3,6
uniform,100,4,11
uniform,101,5,14
uniform,102,6,14
uniform,103,7,0
uniform,104,8,9
uniform,105,9,11
uniform,106,10,15
uniform,107,11,2
uniform,108,12,2
uniform,109,13,4
uniform,110,14,5
uniform,111,15,0
uniform,112,0,6
uniform,113,1,9
uniform,114,2,10
uniform,115,3,4
uniform,116,4,7
uniform,117,5,13
uniform,118,6,7
uniform,119,7,11
uniform,120,8,7
uniform,121,9,13
uniform,122,10,9
uniform,123,11,3
uniform,124,12,9
uniform,125,13,8
uniform,126,14,15
uniform,127,15,5
uniform,128,0,2
uniform,129,1,12
uniform,130,2,5
uniform,131,3,8
uniform,132,4,0
uniform,133,5,2
uniform,134,6,1
uniform,135,7,8
uniform,136,8,6
uniform,137,9,10
uniform,138,10,12
uniform,139,11,9
uniform,140,12,10
uniform,141,13,11
uniform,142,14,13
uniform,143,15,8
uniform,144,0,5
uniform,145,1,4
uniform,146,2,7
uniform,147,3,5
uniform,148,4,14
uniform,149,5,8
uniform,150,6,8
uniform,151,7,13
uniform,152,8,3
uniform,153,9,1
